Category,Term
File extension,csv
File extension,doc
File extension,docx
File extension,gif
File extension,html
File extension,jpeg
File extension,pdf
File extension,ppt
File extension,pptx
File extension,rtf
File extension,tiff
File extension,txt
File extension,warc
File extension,wpd
File extension,xhtml
File extension,xls
File extension,xlsx
File extension,xml
English stop words,a
English stop words,about
English stop words,above
English stop words,after
English stop words,again
English stop words,against
English stop words,all
English stop words,am
English stop words,an
English stop words,and
English stop words,any
English stop words,are
English stop words,aren't
English stop words,as
English stop words,at
English stop words,be
English stop words,because
English stop words,been
English stop words,before
English stop words,being
English stop words,below
English stop words,between
English stop words,both
English stop words,but
English stop words,by
English stop words,can
English stop words,couldn't
English stop words,did
English stop words,didn't
English stop words,do
English stop words,does
English stop words,doesn't
English stop words,doing
English stop words,don't
English stop words,down
English stop words,during
English stop words,each
English stop words,few
English stop words,for
English stop words,from
English stop words,further
English stop words,had
English stop words,hadn't
English stop words,has
English stop words,hasn't
English stop words,have
English stop words,haven
English stop words,haven't
English stop words,having
English stop words,he
English stop words,her
English stop words,here
English stop words,hers
English stop words,herself
English stop words,him
English stop words,himself
English stop words,his
English stop words,how
English stop words,i
English stop words,if
English stop words,in
English stop words,into
English stop words,is
English stop words,isn't
English stop words,it
English stop words,its
English stop words,itself
English stop words,just
English stop words,me
English stop words,mightn't
English stop words,more
English stop words,most
English stop words,mustn't
English stop words,my
English stop words,myself
English stop words,needn't
English stop words,no
English stop words,nor
English stop words,not
English stop words,now
English stop words,of
English stop words,off
English stop words,on
English stop words,once
English stop words,only
English stop words,or
English stop words,other
English stop words,our
English stop words,ours
English stop words,ourselves
English stop words,out
English stop words,over
English stop words,own
English stop words,same
English stop words,shan't
English stop words,she
English stop words,she's
English stop words,should
English stop words,shouldn't
English stop words,should've
English stop words,so
English stop words,some
English stop words,such
English stop words,than
English stop words,that
English stop words,that'll
English stop words,the
English stop words,their
English stop words,theirs
English stop words,them
English stop words,themselves
English stop words,then
English stop words,there
English stop words,these
English stop words,they
English stop words,this
English stop words,those
English stop words,through
English stop words,to
English stop words,too
English stop words,under
English stop words,until
English stop words,up
English stop words,very
English stop words,was
English stop words,wasn't
English stop words,we
English stop words,were
English stop words,weren't
English stop words,what
English stop words,when
English stop words,where
English stop words,which
English stop words,while
English stop words,who
English stop words,whom
English stop words,why
English stop words,will
English stop words,with
English stop words,won't
English stop words,wouldn't
English stop words,you
English stop words,you
English stop words,you'll
English stop words,your
English stop words,you're
English stop words,yours
English stop words,yourself
English stop words,yourselves
English stop words,you've
